state,dist,post,pin,village
Kerala,Alappuzha,Mavelikara Court,690101,Mavelikkara
Kerala,Alappuzha,Thazhakara,690102,Thazhakara (Part)
Kerala,Alappuzha,Puthiyacavu,690102,Mavelikkara
Kerala,Alappuzha,Thattarambalam,690103,Kannamangalam (Part)
Kerala,Alappuzha,Karipuzha,690103,Karipuzha
Kerala,Alappuzha,Thattarambalam,690103,Thattarambalam
Kerala,Alappuzha,Pela,690103,Kannamangalam (Part)
Kerala,Alappuzha,Kandiyoor,690103,Mavelikkara
Kerala,Alappuzha,Pela,690103,Pela
Kerala,Alappuzha,Cherukole,690104,Cherukole
Kerala,Alappuzha,Valiyakulangara,690104,Valiyakulangara
Kerala,Alappuzha,Ezhakadavu,690104,Ezhakadavu
Kerala,Alappuzha,Chennithala South,690105,Chennithala South
Kerala,Alappuzha,Chennithala,690105,Chennithala
Kerala,Alappuzha,Thripperunthura,690105,Thriperumthura
Kerala,Alappuzha,Erezha North,690106,Kannamangalam (Part)
Kerala,Alappuzha,Chettikulangara,690106,Chettikulangara
Kerala,Alappuzha,Erezha South,690106,Erezha South
Kerala,Alappuzha,Kannamangalam,690106,Kannamangalam (Part)
Kerala,Alappuzha,Pallarimangalam,690107,Pallarimangalam
Kerala,Alappuzha,Pallarimangalam,690107,Thekkekara
Kerala,Alappuzha,Varenickal,690107,Varenical
Kerala,Alappuzha,Thekkekara,690107,Thekkekara (Part)
Kerala,Alappuzha,Eravankara,690108,Eravankara
Kerala,Alappuzha,Kunnam (Alappuzha),690108,Kunnam
Kerala,Alappuzha,Kallumala,690110,Kallumala
Kerala,Alappuzha,Arunoottimangalam,690110,Arunoottimangalam
Kerala,Alappuzha,Puthenchantha,690501,Puthenchantha
Kerala,Alappuzha,Puthenchantha,690501,Vallikunnam
Kerala,Alappuzha,Kaduvinal,690501,Kaduvinal
Kerala,Alappuzha,Vallikunnam,690501,Vallikunnam
Kerala,Alappuzha,Kayangulam,690502,Kayangulam
Kerala,Alappuzha,Kayangulam College,690502,Keerikkad (Part)
Kerala,Alappuzha,Pallickal,690503,Bharanikkavu
Kerala,Alappuzha,Pallickal Naduvilemuri,690503,Pallickal Naduvilemuri
Kerala,Alappuzha,Pallickal,690503,Pallickal
Kerala,Alappuzha,Vetticode,690503,Vetticode
Kerala,Alappuzha,Illippakulam,690503,Ilippakulam
Kerala,Alappuzha,Kattanam,690503,Kattanam
Kerala,Alappuzha,Pallickal,690503,Kattanam
Kerala,Alappuzha,Bharanickavu,690503,Bharanikkavu
Kerala,Alappuzha,Pallickal Naduvilemuri,690503,Bharanikkavu
Kerala,Alappuzha,Nooranad,690504,Nooranad
Kerala,Alappuzha,Athikattukulangara,690504,Athikattukulangara
Kerala,Alappuzha,Payyanallur,690504,Palamel
Kerala,Alappuzha,Payyanallur,690504,Payyanallur
Kerala,Alappuzha,Nooranad,690504,Palamel
Kerala,Alappuzha,Panayil,690504,Panayil
Kerala,Alappuzha,Charumoodu,690505,Charummodu
Kerala,Alappuzha,Kannanakuzhy,690505,Kannanakuzhy
Kerala,Alappuzha,Vedaraplavu,690505,Vederaplavu
Kerala,Alappuzha,Komallur,690505,Komallur
Kerala,Alappuzha,Vedaraplavu,690505,Thamarakkulam
Kerala,Alappuzha,Muthukulam South,690506,Muthukulam
Kerala,Alappuzha,Choolatheruvu,690506,Choolatheruvu
Kerala,Alappuzha,Muthukulam South,690506,Muthukulam South
Kerala,Alappuzha,Muthukulam,690506,Muthukulam
Kerala,Alappuzha,Cheppaud,690507,Cheppad
Kerala,Alappuzha,Evur,690507,Evur
Kerala,Alappuzha,Keerikad,690508,Keerikkad (Part)
Kerala,Alappuzha,Pathiyoor,690508,Perungala
Kerala,Alappuzha,Pathiyoor,690508,Pathiyoor
Kerala,Alappuzha,Kallimel,690509,Kallimel
Kerala,Alappuzha,Kollakadavu,690509,Kollakadavu
Kerala,Alappuzha,Olakettiambalam,690510,Chettikulangara
Kerala,Alappuzha,Olakettiambalam,690510,Thekkekara
Kerala,Alappuzha,Olakettiambalam,690510,Bharanikkavu
Kerala,Alappuzha,Olakettiambalam,690510,Olakettiyambalam
Kerala,Alappuzha,Muttom-alleppey,690511,Muttom
Kerala,Alappuzha,Muttom-alleppey,690511,Pallippad
Kerala,Alappuzha,Muttom-alleppey,690511,Cheppaud
Kerala,Alappuzha,Naduvattom,690512,Pallippad
Kerala,Alappuzha,Pallipad,690512,Pallippad
Kerala,Alappuzha,Naduvattom,690512,Naduvattom
Kerala,Alappuzha,Akamkudy,690513,Akamkudy
Kerala,Alappuzha,Nangiarkulangara,690513,Nangiarkulangara
Kerala,Alappuzha,Nangiarkulangara,690513,Chingoli
Kerala,Alappuzha,Nangiarkulangara,690513,Karthikappally
Kerala,Alappuzha,Nangiarkulangara,690513,Pallippad
Kerala,Alappuzha,Mannarasala,690514,Haripad
Kerala,Alappuzha,Payipad,690514,Veeyapuram
Kerala,Alappuzha,Veeyapuram,690514,Veeyapuram
Kerala,Alappuzha,Haripad,690514,Haripad
Kerala,Alappuzha,Thamallackal North,690514,Thamallackal North
Kerala,Alappuzha,Thamallackal North,690514,Kumarapuram
Kerala,Alappuzha,Mannarasala,690514,Mannarasala
Kerala,Alappuzha,Payipad,690514,Payippad
Kerala,Alappuzha,Pallana,690515,Pallana
Kerala,Alappuzha,Arattupuzha North,690515,Arattupuzha North
Kerala,Alappuzha,Mangalam,690515,Mangalam
Kerala,Alappuzha,Mangalam,690515,Arattupuzha
Kerala,Alappuzha,Pallana,690515,Thrikkunnapuzha
Kerala,Alappuzha,Thrikkunnapuzha,690515,Thrikkunnapuzha
Kerala,Alappuzha,Mahadevikadu,690516,Mahadevicad
Kerala,Alappuzha,Karthikappally,690516,Karthikappally
Kerala,Alappuzha,Mahadevikadu,690516,Karthikappally
Kerala,Alappuzha,Erickavu,690516,Ericavu Part1
Kerala,Alappuzha,Valiyaparambu,690516,Valiyaparmbu
Kerala,Alappuzha,Valiyaparambu,690516,Thrikkunnapuzha
Kerala,Alappuzha,Karuvatta North,690517,Karuvatta North
Kerala,Alappuzha,Ayaparambu,690517,Ayaparambu
Kerala,Alappuzha,Cheruthana,690517,Cheruthana
Kerala,Alappuzha,Pandy,690517,Pandy
Kerala,Alappuzha,Pandy,690517,Cheruthana
Kerala,Alappuzha,Karuvatta,690517,Karuvatta
Kerala,Alappuzha,Puthuppally,690527,Puthuppally (Part)
Kerala,Alappuzha,Govindamuttom,690527,Govindamuttom
Kerala,Alappuzha,Padanilam,690529,Nooranad
Kerala,Alappuzha,Pattoor,690529,Pattoor
Kerala,Alappuzha,Pattoor,690529,Nooranad
Kerala,Alappuzha,Padanilam,690529,Padanilam
Kerala,Alappuzha,Thamarakulam,690530,Thamarakkulam
Kerala,Alappuzha,Pattoli Market,690531,Puthiyavila
Kerala,Alappuzha,Puthiyavila,690531,Kandallur, Arattupuzha
Kerala,Alappuzha,Pattoli Market,690531,Kandalloor
Kerala,Alappuzha,Chingoli,690532,Chingoli
Kerala,Alappuzha,Njakkanal,690533,Oachira
Kerala,Alappuzha,Kappil East,690533,Kapil East
Kerala,Alappuzha,Njakkanal,690533,Njakkanal
Kerala,Alappuzha,Krishnapuram (Alappuzha),690533,Krishnapuram
Kerala,Alappuzha,Thannikunnu,690534,Thannikunnu
Kerala,Alappuzha,Thannikunnu,690534,Chunakkara
Kerala,Alappuzha,Chunakara,690534,Chunakkara
Kerala,Alappuzha,Kandallur,690535,Kandalloor
Kerala,Alappuzha,Valiyazheekkal,690535,Valiyazheekal
Kerala,Alappuzha,Valiyazheekkal,690535,Kandallur, Arattupuzha
Kerala,Alappuzha,Kandallur,690535,Kandallur, Arattupuzha
Kerala,Alappuzha,Arattupuzha,690535,Arattupuzha
Kerala,Alappuzha,Pullikanakku,690537,Bharanikkavu
Kerala,Alappuzha,Pullikanakku,690537,Pullikanakku
Kerala,Alappuzha,Thattakkattu Market,690547,Puthuppally (Part)
Kerala,Alappuzha,Prayar,690547,Puthuppally (Part)
Kerala,Alappuzha,Kumarapuram (Alappuzha),690548,Kumarapuram
Kerala,Alappuzha,Thamallackal,690548,Thamallackal
Kerala,Alappuzha,Thamallackal,690548,Kumarapuram
Kerala,Alappuzha,Mankamkuzhy,690558,Mankamkuzhy
Kerala,Alappuzha,Ayiranikudy,690558,Ayiranikudy
Kerala,Alappuzha,Vettiyar,690558,Vettiyar
Kerala,Alappuzha,Perungala,690559,Perungala
Kerala,Alappuzha,Nooranad Sanatorium,690571,Nooranad Sanitorium
Kerala,Alappuzha,Nooranad Sanatorium,690571,Thamarakkulam
Kerala,Alappuzha,Eruva,690572,Eruva
Kerala,Alappuzha,Kareelakulangara,690572,Kareelakulangara
Kerala,Ernakulam,Thuruthippuram,680667,Vadakkekara (Part)
Kerala,Ernakulam,Kochi,682001,Kochi
Kerala,Ernakulam,Mattancherry,682002,Rameswaram
Kerala,Ernakulam,Mattancherry,682002,Mattancherry
Kerala,Ernakulam,Willingdon Island,682003,Willingdon Island
Kerala,Ernakulam,Kochi Naval Base,682004,Kochi Naval Base
Kerala,Ernakulam,Thoppumpady,682005,Thoppumpady
Kerala,Ernakulam,Palluruthy,682006,Palluruthy
Kerala,Ernakulam,Kumbalangi South,682007,Kumbalangy
Kerala,Ernakulam,Kumbalangi,682007,Kumbalangy
Kerala,Ernakulam,Chellanam,682008,Chellanam
Kerala,Ernakulam,Kannamali,682008,Kumbalangy
Kerala,Ernakulam,Andikkadavu,682008,Kumbalangy
Kerala,Ernakulam,S.Chellanam,682008,Chellanam
Kerala,Ernakulam,North End,682009,Willingdon Island North End
Kerala,Ernakulam,Edakochi,682010,Edakochi
Kerala,Ernakulam,Ernakulam,682011,Ernakulam
Kerala,Ernakulam,Pachalam,682012,Ernakulam
Kerala,Ernakulam,Thevara,682013,Thevara
Kerala,Ernakulam,Perumanur,682015,Ernakulam
Kerala,Ernakulam,Kochi M.G.Road,682016,Ernakulam
Kerala,Ernakulam,Kaloor,682017,Ernakulam
Kerala,Ernakulam,Ernakulam North,682018,Ernakulam
Kerala,Ernakulam,Vyttila,682019,Kochi
Kerala,Ernakulam,Kadavanthara,682020,Kadavanthra
Kerala,Ernakulam,Kadavanthara,682020,Elamkulam
Kerala,Ernakulam,Vadacode,682021,Thrikkakara North (Part)
Kerala,Ernakulam,Thrikkakara,682021,Thrikkakara North (Part)
Kerala,Ernakulam,Vadacode Kailas Colony,682021,Thrikkakara North (Part)
Kerala,Ernakulam,Kochi University,682022,Thrikkakara North (Part)
Kerala,Ernakulam,Vaduthala,682023,Cheranallur
Kerala,Ernakulam,Edapally North,682024,Thrikkakara North (Part)
Kerala,Ernakulam,Edapally,682024,Thrikkakara North (Part)
Kerala,Ernakulam,Palarivattom,682025,Ernakulam
Kerala,Ernakulam,Elamakkara,682026,ELAMAKKARA
Kerala,Ernakulam,Kothad,682027,Cheranallur
Kerala,Ernakulam,Kadamakudi,682027,Cheranallur
Kerala,Ernakulam,Chittoor-ekm,682027,Cheranallur
Kerala,Ernakulam,Pizhala,682027,Cheranallur
Kerala,Ernakulam,Vennala,682028,Ernakulam
Kerala,Ernakulam,Matsyapuri,682029,Matsyapuri
Kerala,Ernakulam,Kusumagiri,682030,Kakkanad
Kerala,Ernakulam,Kakkanad,682030,Kakkanad
Kerala,Ernakulam,Thengod,682030,Kakkanad
Kerala,Ernakulam,Kakkanad West,682030,Kakkanad
Kerala,Ernakulam,Shanmugham Road,682031,Ernakulam
Kerala,Ernakulam,Thammanam,682032,Thammanam
Kerala,Ernakulam,Changampuzha Nagar,682033,Thrikkakara North (Part)
Kerala,Ernakulam,Cheranallur,682034,Cheranallur
Kerala,Ernakulam,Ernakulam College,682035,Ernakulam
Kerala,Ernakulam,Panampilly Nagar,682036,Kochi
Kerala,Ernakulam,Cochin Special Economic Zone,682037,Kakkanad
Kerala,Ernakulam,Poonithura,682038,Ernakulam
Kerala,Ernakulam,Rajagiri Valley,682039,Kakkanad
Kerala,Ernakulam,Nettoor,682040,Nettoor
Kerala,Ernakulam,AIMS Ponekkara,682041,Ponekkara
Kerala,Ernakulam,Infopark-Kochi,682042,InfoPark
Kerala,Ernakulam,Infopark-Kochi,682042,Info park
Kerala,Ernakulam,Kochi Palace,682301,Puthencruz
Kerala,Ernakulam,Tripunithura,682301,Puthencruz
Kerala,Ernakulam,Ambalamugal,682302,Puthencruz
Kerala,Ernakulam,Ambalamedu,682303,Puthencruz
Kerala,Ernakulam,Brahmapuram,682303,Puthencruz
Kerala,Ernakulam,Karimugal,682303,Puthencruz
Kerala,Ernakulam,Maradu,682304,Maradu
Kerala,Ernakulam,Kandanad,682305,Manakunnam
Kerala,Ernakulam,Mamala,682305,Puthencruz
Kerala,Ernakulam,Kureekad,682305,Kanayannur
Kerala,Ernakulam,Thiruvamkulam,682305,Thiruvankulam
Kerala,Ernakulam,Kadungamangalam,682305,Kanayannur
Kerala,Ernakulam,Kokkappilly,682305,Puthencruz
Kerala,Ernakulam,Eroor (Ernakulam),682306,Eroor
Kerala,Ernakulam,Eroor South,682306,Kanayannur
Kerala,Ernakulam,Eroor West,682306,Kanayannur
Kerala,Ernakulam,South Paravoor,682307,Manakunnam
Kerala,Ernakulam,Poothotta,682307,Manakunnam
Kerala,Ernakulam,Nadakkavu,682307,Manakunnam
Kerala,Ernakulam,Udayamperoor,682307,Manakunnam
